Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Tull,99.16%,,0.56%,,,,0.28%,3.07%,$33,750.00,$41,406.00,$30,417.00,$29,250.00,$18,017.00,10.10%,10.70%,14.10%,7.80%
Tumbling Shoals,,,,,,,,,,,,,,,,,
Tupelo,99.44%,,,,,0.56%,,1.69%,$27,614.00,$28,750.00,$24,375.00,$14,750.00,$12,301.00,13.30%,23.40%,26.10%,25.00%
Turkey Creek Township, Stone County,,,,,,,,,,,,,,,,,
Turrell,19.44%,78.79%,0.10%,,,0.94%,0.73%,2.93%,$15,000.00,$21,750.00,$26,250.00,$14,861.00,$8,908.00,38.10%,41.00%,50.80%,30.40%
Twin Groves,26.81%,72.10%,,,,,1.09%,0.36%,$34,375.00,$37,222.00,$28,929.00,$16,250.00,$16,811.00,0.00%,3.30%,0.00%,8.50%
Twist Township, Cross County,,,,,,,,,,,,,,,,,
Tyler Township, Perry County,,,,,,,,,,,,,,,,,
Tyler Township, Prairie County,,,,,,,,,,,,,,,,,
Tyronza Township, Crittenden County,,,,,,,,,,,,,,,,,
Tyronza Township, Cross County,,,,,,,,,,,,,,,,,
Tyronza Township, Poinsett County,,,,,,,,,,,,,,,,,
Tyronza,94.12%,3.70%,,,,0.54%,1.63%,0.65%,,,,,,,,,
Ulm,93.17%,3.90%,,,,0.98%,1.95%,0.98%,$31,458.00,$32,083.00,$30,536.00,$18,750.00,$13,428.00,4.40%,5.20%,0.00%,12.80%
Umpire Township, Howard County,,,,,,,,,,,,,,,,,
Union County,66.15%,31.97%,0.24%,0.40%,0.01%,0.46%,0.77%,1.14%,$29,809.00,$36,805.00,$31,868.00,$19,740.00,$16,063.00,14.70%,18.70%,25.80%,14.30%
Union Township, Ashley County,,,,,,,,,,,,,,,,,
Union Township, Baxter County,,,,,,,,,,,,,,,,,
Union Township, Conway County,,,,,,,,,,,,,,,,,
Union Township, Faulkner County,,,,,,,,,,,,,,,,,
Union Township, Fulton County,,,,,,,,,,,,,,,,,
Union Township, Greene County,,,,,,,,,,,,,,,,,
Union Township, Independence County,,,,,,,,,,,,,,,,,
Union Township, Izard County,,,,,,,,,,,,,,,,,
Union Township, Jackson County,,,,,,,,,,,,,,,,,
Union Township, Lee County,,,,,,,,,,,,,,,,,
Union Township, Marion County,,,,,,,,,,,,,,,,,
Union Township, Nevada County,,,,,,,,,,,,,,,,,
Union Township, Ouachita County,,,,,,,,,,,,,,,,,
Union Township, Perry County,,,,,,,,,,,,,,,,,
Union Township, Prairie County,,,,,,,,,,,,,,,,,
Union Township, Randolph County,,,,,,,,,,,,,,,,,
Union Township, Saline County,,,,,,,,,,,,,,,,,
Union Township, Stone County,,,,,,,,,,,,,,,,,
Union Township, Van Buren County,,,,,,,,,,,,,,,,,
Union Township, White County,,,,,,,,,,,,,,,,,
Union Valley Township, Perry County,,,,,,,,,,,,,,,,,
Uniontown Township, Crawford County,,,,,,,,,,,,,,,,,
Upper North Township, Sharp County,,,,,,,,,,,,,,,,,
Upper Surrounded Hill Township, Prairie County,,,,,,,,,,,,,,,,,
Upper Township, Crawford County,,,,,,,,,,,,,,,,,
Upper Township, Sebastian County,,,,,,,,,,,,,,,,,
Valley Springs,95.21%,,1.20%,1.20%,0.60%,0.60%,1.20%,0.60%,$27,143.00,$27,321.00,$16,136.00,$17,708.00,$11,614.00,17.60%,18.00%,24.40%,10.50%
Valley Township, Cleburne County,,,,,,,,,,,,,,,,,
Valley Township, Hot Spring County,,,,,,,,,,,,,,,,,
Valley Township, Madison County,,,,,,,,,,,,,,,,,
Valley Township, Ouachita County,,,,,,,,,,,,,,,,,
Valley Township, Pope County,,,,,,,,,,,,,,,,,
Valley Township, Washington County,,,,,,,,,,,,,,,,,
Van Buren County,96.79%,0.31%,0.75%,0.25%,0.04%,0.37%,1.48%,1.33%,$27,004.00,$32,284.00,$25,821.00,$18,862.00,$16,603.00,11.60%,15.40%,21.90%,10.60%
Van Buren Township, Crawford County,,,,,,,,,,,,,,,,,
Van Buren Township, Newton County,,,,,,,,,,,,,,,,,
Van Buren Township, Union County,,,,,,,,,,,,,,,,,
Van Buren,87.37%,1.64%,1.96%,2.82%,,3.17%,3.03%,6.04%,$33,608.00,$37,198.00,$28,798.00,$21,201.00,$14,948.00,13.50%,16.70%,24.40%,13.00%
Vandervoort,87.50%,5.00%,1.67%,,,4.17%,1.67%,5.00%,$21,042.00,$28,750.00,$21,875.00,$15,250.00,$8,135.00,13.90%,17.70%,13.20%,14.30%
Vaugine Township, Jefferson County,,,,,,,,,,,,,,,,,
Veasey Township, Drew County,,,,,,,,,,,,,,,,,
Velvet Ridge Township, White County,,,,,,,,,,,,,,,,,
Venus Township, Madison County,,,,,,,,,,,,,,,,,
Victoria Township, Jefferson County,,,,,,,,,,,,,,,,,
Victoria,,,,,,,,,$28,750.00,,$19,500.00,$11,667.00,$8,721.00,0.00%,5.30%,0.00%,0.00%
Vidette Township, Fulton County,,,,,,,,,,,,,,,,,
Village Township, Columbia County,,,,,,,,,,,,,,,,,
Village Township, Jackson County,,,,,,,,,,,,,,,,,
Villemont Township, Jefferson County,,,,,,,,,,,,,,,,,
Vilonia,98.39%,0.14%,0.52%,0.19%,,0.19%,0.57%,1.28%,$45,147.00,$50,184.00,$33,684.00,$26,563.00,$17,495.00,6.10%,7.60%,9.00%,11.90%
Vine Prairie Township, Crawford County,,,,,,,,,,,,,,,,,
Vineyard Township, Washington County,,,,,,,,,,,,,,,,,
Viola,98.69%,0.26%,,,,,1.05%,0.79%,$26,667.00,$31,094.00,$23,750.00,$21,875.00,$12,953.00,2.90%,7.20%,4.00%,11.70%
Violet Hill Township, Izard County,,,,,,,,,,,,,,,,,
Wabbaseka,15.17%,84.21%,,,,,0.62%,,$14,792.00,$24,375.00,$16,250.00,$28,750.00,$10,902.00,28.10%,30.70%,44.80%,31.10%
Wager Township, Benton County,,,,,,,,,,,,,,,,,
Waldenburg,93.75%,5.00%,,,,,1.25%,,$23,750.00,$33,250.00,$16,250.00,$16,250.00,$11,452.00,0.00%,12.00%,0.00%,20.00%
Waldo Township, Columbia County,,,,,,,,,,,,,,,,,
Waldo,39.77%,58.72%,0.38%,,,0.63%,0.50%,1.57%,$20,353.00,$24,306.00,$25,300.00,$17,212.00,$11,170.00,30.60%,34.20%,49.20%,21.50%
Waldron,90.42%,0.14%,0.91%,0.11%,,7.16%,1.25%,15.31%,$21,921.00,$26,829.00,$25,256.00,$16,136.00,$12,193.00,22.80%,25.90%,31.10%,14.70%
Walker Creek Township, Lafayette County,,,,,,,,,,,,,,,,,
Walker Township, Faulkner County,,,,,,,,,,,,,,,,,
Walker Township, Franklin County,,,,,,,,,,,,,,,,,
Walker Township, White County,,,,,,,,,,,,,,,,,
Wallace Township, Benton County,,,,,,,,,,,,,,,,,
Wallace Township, Franklin County,,,,,,,,,,,,,,,,,
Wallace Township, Little River County,,,,,,,,,,,,,,,,,
Wallaceburg Township, Hempstead County,,,,,,,,,,,,,,,,,
Walls Township, Lonoke County,,,,,,,,,,,,,,,,,
Walnut Corner Township, Greene County,,,,,,,,,,,,,,,,,
Walnut Lake Township, Desha County,,,,,,,,,,,,,,,,,
Walnut Ridge,97.04%,0.59%,0.51%,0.12%,,,1.75%,0.43%,$28,953.00,$36,735.00,$27,458.00,$20,169.00,$14,974.00,10.00%,13.60%,15.90%,18.60%
Walnut Township, Benton County,,,,,,,,,,,,,,,,,
Walnut Township, Montgomery County,,,,,,,,,,,,,,,,,
Wappanocca Township, Crittenden County,,,,,,,,,,,,,,,,,
War Eagle Township, Benton County,,,,,,,,,,,,,,,,,
War Eagle Township, Madison County,,,,,,,,,,,,,,,,,
Ward Township, Johnson County,,,,,,,,,,,,,,,,,
Ward Township, Lonoke County,,,,,,,,,,,,,,,,,
Ward Township, Yell County,,,,,,,,,,,,,,,,,
Ward,97.33%,0.19%,0.78%,0.39%,,0.16%,1.16%,1.94%,$32,924.00,$34,702.00,$30,275.00,$21,151.00,$13,581.00,13.60%,16.50%,18.80%,18.00%
Warm Springs Township, Randolph County,,,,,,,,,,,,,,,,,
Warren,,,,,,,,,$22,162.00,$27,618.00,$27,778.00,$17,247.00,$13,453.00,24.30%,28.70%,37.40%,23.90%
Washburn Township, Logan County,,,,,,,,,,,,,,,,,
Washburn Township, Sebastian County,,,,,,,,,,,,,,,,,
Washington County,74.14%,2.96%,1.18%,2.17%,2.03%,0.11%,2.16%,15.49%,$34,691.00,$42,795.00,$29,428.00,$21,769.00,$17,347.00,9.40%,14.60%,16.50%,10.20%
Washington Township, Benton County,,,,,,,,,,,,,,,,,
Washington Township, Bradley County,,,,,,,,,,,,,,,,,
Washington Township, Conway County,,,,,,,,,,,,,,,,,
Washington Township, Fulton County,,,,,,,,,,,,,,,,,
Washington Township, Grant County,,,,,,,,,,,,,,,,,
Washington Township, Independence County,,,,,,,,,,,,,,,,,
Washington Township, Jefferson County,,,,,,,,,,,,,,,,,
Washington Township, Ouachita County,,,,,,,,,,,,,,,,,
Washington Township, Sevier County,,,,,,,,,,,,,,,,,
Washington Township, Sharp County,,,,,,,,,,,,,,,,,
Washington Township, Stone County,,,,,,,,,,,,,,,,,
Washington Township, Van Buren County,,,,,,,,,,,,,,,,,
Washington,38.51%,61.49%,,,,,,,$19,375.00,$21,042.00,$41,875.00,$20,313.00,$16,066.00,10.80%,18.60%,25.00%,21.70%
Washita Township, Montgomery County,,,,,,,,,,,,,,,,,
Watalula Township, Franklin County,,,,,,,,,,,,,,,,,
Watensaw Township, Prairie County,,,,,,,,,,,,,,,,,
Water Creek Township, Hempstead County,,,,,,,,,,,,,,,,,
Water Creek Township, Marion County,,,,,,,,,,,,,,,,,
Water Valley Township, Randolph County,,,,,,,,,,,,,,,,,
Watson,72.57%,24.65%,0.69%,,0.69%,,1.39%,,$17,143.00,$33,889.00,$30,625.00,$15,313.00,$13,631.00,22.60%,25.80%,40.50%,23.00%
Waveland Township, Yell County,,,,,,,,,,,,,,,,,
Weaver Township, Franklin County,,,,,,,,,,,,,,,,,
Wedington Township, Washington County,,,,,,,,,,,,,,,,,
Weiner,98.55%,0.53%,0.39%,0.53%,,,,0.66%,$32,125.00,$42,222.00,$25,789.00,$20,804.00,$18,222.00,6.70%,9.30%,9.40%,12.40%
Welborn Township, Conway County,,,,,,,,,,,,,,,,,
Weldon,95.00%,2.00%,,,,1.00%,2.00%,1.00%,$27,188.00,$56,250.00,$29,167.00,$18,750.00,$20,161.00,0.00%,6.20%,0.00%,9.50%
Wells Bayou Township, Lincoln County,,,,,,,,,,,,,,,,,
Wesson Township, Union County,,,,,,,,,,,,,,,,,
West Crossett,60.88%,36.72%,0.06%,0.06%,,1.74%,0.54%,3.06%,$35,089.00,$37,763.00,$34,500.00,$21,406.00,$15,759.00,9.50%,11.70%,9.30%,12.00%
West Fork Township, Washington County,,,,,,,,,,,,,,,,,
West Fork,94.56%,0.44%,0.93%,0.54%,,1.71%,1.81%,3.13%,,,,,,,,,
West Memphis,42.16%,55.93%,0.21%,0.53%,0.02%,0.51%,0.64%,1.01%,$27,399.00,$32,465.00,$29,977.00,$21,007.00,$13,679.00,23.70%,28.30%,40.90%,22.30%
West Point,91.46%,3.66%,,,0.61%,,4.27%,6.10%,$23,125.00,$24,375.00,$20,208.00,$23,333.00,$11,657.00,26.10%,26.10%,42.10%,33.30%
West Prairie Township, Poinsett County,,,,,,,,,,,,,,,,,
West Roanoke Township, Randolph County,,,,,,,,,,,,,,,,,
West Sullivan Township, Sharp County,,,,,,,,,,,,,,,,,
Western Grove,99.51%,,,,,,0.49%,,$24,722.00,$30,694.00,$25,000.00,$16,375.00,$12,731.00,11.20%,14.60%,27.70%,4.20%
Wharton Creek Township, Madison County,,,,,,,,,,,,,,,,,
Wheatley Township, St. Francis County,,,,,,,,,,,,,,,,,
Wheatley,69.35%,29.30%,0.54%,,,0.27%,0.54%,2.69%,$27,813.00,$32,917.00,$20,833.00,$25,938.00,$13,556.00,14.70%,14.60%,23.20%,16.40%
Wheeler Township, Van Buren County,,,,,,,,,,,,,,,,,
Wheeler Township, Washington County,,,,,,,,,,,,,,,,,
Whelen Springs,94.05%,4.76%,,,,,1.19%,,$19,286.00,$19,792.00,$24,688.00,$16,500.00,$10,852.00,18.50%,13.50%,22.20%,13.00%
White County,93.52%,3.56%,0.43%,0.32%,0.03%,0.82%,1.31%,1.88%,$32,203.00,$38,782.00,$29,884.00,$20,323.00,$15,890.00,10.40%,14.00%,18.10%,14.30%
White Eagle Township, Conway County,,,,,,,,,,,,,,,,,
White Hall,92.54%,4.65%,0.49%,1.31%,,0.34%,0.68%,1.04%,$52,045.00,$56,997.00,$38,286.00,$26,827.00,$20,524.00,5.50%,6.50%,9.40%,8.90%
White Oak Township, Cleveland County,,,,,,,,,,,,,,,,,
White Oak Township, Franklin County,,,,,,,,,,,,,,,,,
White Oak Township, Sebastian County,,,,,,,,,,,,,,,,,
White River Township, County,,,,,,,,,,,,,,,,,
White River Township, Independence County,,,,,,,,,,,,,,,,,
White River Township, Izard County,,,,,,,,,,,,,,,,,
White River Township, Madison County,,,,,,,,,,,,,,,,,
White River Township, Marion County,,,,,,,,,,,,,,,,,
White River Township, Prairie County,,,,,,,,,,,,,,,,,
White River Township, Washington County,,,,,,,,,,,,,,,,,
White Rock Township, Franklin County,,,,,,,,,,,,,,,,,
White Township, Ashley County,,,,,,,,,,,,,,,,,
White Township, Newton County,,,,,,,,,,,,,,,,,
White Township, Pike County,,,,,,,,,,,,,,,,,
White Township, Polk County,,,,,,,,,,,,,,,,,
Whiteville Township, Baxter County,,,,,,,,,,,,,,,,,
Whiteville Township, Cleveland County,,,,,,,,,,,,,,,,,
Whiteville Township, Jefferson County,,,,,,,,,,,,,,,,,
Whitley Township, Crawford County,,,,,,,,,,,,,,,,,
Whittington Township, Garland County,,,,,,,,,,,,,,,,,
Whitton Township County,,,,,,,,,,,,,,,,,
Wickes,73.78%,,3.26%,,,19.70%,3.26%,31.70%,$20,515.00,$22,292.00,$19,659.00,$17,045.00,$7,572.00,27.60%,37.10%,45.40%,10.60%
Widener,31.94%,67.16%,,0.30%,,0.60%,,2.39%,$20,833.00,$24,375.00,$23,929.00,$20,625.00,$12,135.00,34.20%,38.70%,41.10%,34.10%
Wiederkehr Village,95.65%,,2.17%,2.17%,,,,,$33,750.00,$43,125.00,$28,750.00,$13,750.00,$20,718.00,15.40%,23.70%,71.40%,0.00%
Wilburn Township, Cleburne County,,,,,,,,,,,,,,,,,
Wiley Township, Randolph County,,,,,,,,,,,,,,,,,
Wileys Cove Township, Searcy County,,,,,,,,,,,,,,,,,
Williams Township, Lonoke County,,,,,,,,,,,,,,,,,
Williford,96.83%,,,,,,3.17%,,$11,875.00,$20,000.00,$11,250.00,$11,250.00,$27,942.00,30.00%,29.60%,71.40%,0.00%
Willis Township, Poinsett County,,,,,,,,,,,,,,,,,
Willisville,79.26%,19.15%,1.06%,,,,0.53%,1.60%,$28,750.00,$36,250.00,$36,875.00,$12,188.00,$12,925.00,13.80%,21.30%,31.10%,5.90%
Willow Township, Dallas County,,,,,,,,,,,,,,,,,
Wilmar,27.50%,71.80%,,,0.18%,,0.53%,,$16,304.00,$23,854.00,$19,643.00,$16,071.00,$10,810.00,24.80%,29.50%,39.40%,40.60%
Wilmington Township, Union County,,,,,,,,,,,,,,,,,
Wilmot Township, Ashley County,,,,,,,,,,,,,,,,,
Wilmot,24.17%,75.19%,,,,,0.64%,0.64%,$14,167.00,$20,917.00,$22,188.00,$17,250.00,$9,528.00,38.10%,40.40%,53.60%,49.20%
Wilson Township, Clay County,,,,,,,,,,,,,,,,,
Wilson Township, Faulkner County,,,,,,,,,,,,,,,,,
Wilson Township, Fulton County,,,,,,,,,,,,,,,,,
Wilson Township, Pope County,,,,,,,,,,,,,,,,,
Wilson Township, Stone County,,,,,,,,,,,,,,,,,
Wilson,74.60%,21.70%,0.30%,0.70%,,0.10%,1.60%,1.00%,$33,625.00,$38,971.00,$30,526.00,$20,625.00,$14,738.00,10.70%,11.80%,12.10%,20.20%
Wilton,58.31%,40.77%,,,,,0.91%,,,,,,,,,,
Winchester,29.32%,64.92%,1.05%,,,3.66%,1.05%,3.66%,$24,375.00,$29,750.00,$29,583.00,$11,250.00,$10,397.00,12.80%,17.00%,27.80%,28.00%
Winfrey Township, Crawford County,,,,,,,,,,,,,,,,,
Winona Township, Carroll County,,,,,,,,,,,,,,,,,
Winslow Township, Washington County,,,,,,,,,,,,,,,,,
Winslow,95.90%,0.30%,0.50%,,,0.80%,2.60%,2.00%,$32,692.00,$45,000.00,$31,389.00,$41,719.00,$15,415.00,11.50%,23.60%,30.90%,13.70%
Winthrop,90.86%,2.69%,2.69%,,,0.54%,3.23%,2.15%,$25,313.00,$31,094.00,$22,188.00,$17,917.00,$13,474.00,14.30%,16.70%,15.60%,9.10%
Wittich Township, Franklin County,,,,,,,,,,,,,,,,,
Wolf Creek Township, Pike County,,,,,,,,,,,,,,,,,
Womble Township, Montgomery County,,,,,,,,,,,,,,,,,
Woodlawn, Cleveland County,,,,,,,,,,,,,,,,,
Woodruff County,67.86%,30.75%,0.23%,0.07%,0.10%,0.17%,0.81%,0.79%,$22,099.00,$27,824.00,$24,051.00,$17,995.00,$13,269.00,21.70%,27.00%,38.10%,27.00%
Woodson,24.94%,73.93%,,,,,1.12%,,$28,750.00,$35,781.00,$22,143.00,$30,893.00,$12,854.00,13.50%,15.40%,12.10%,0.00%
Wooster,97.29%,0.19%,0.78%,0.58%,,0.58%,0.58%,0.97%,$35,063.00,$39,375.00,$30,438.00,$24,063.00,$15,421.00,4.50%,9.00%,15.40%,9.70%
Wrightsville,24.12%,74.56%,0.07%,0.29%,,0.29%,0.66%,0.29%,$28,036.00,$32,500.00,$26,563.00,$20,000.00,$9,518.00,21.50%,22.60%,27.40%,28.00%
Wycough Township, Independence County,,,,,,,,,,,,,,,,,
Wye Township, Perry County,,,,,,,,,,,,,,,,,
Wyman Township, Washington County,,,,,,,,,,,,,,,,,
Wynne Township, Cross County,,,,,,,,,,,,,,,,,
Wynne,75.91%,22.32%,0.15%,0.48%,,0.27%,0.88%,1.03%,$30,125.00,$35,714.00,$30,506.00,$20,567.00,$15,800.00,17.90%,21.40%,30.70%,17.60%
Yarborough Landing,,,,,,,,,,,,,,,,,
Yell County,86.63%,1.47%,0.58%,0.69%,0.03%,8.99%,1.62%,12.73%,$28,916.00,$33,409.00,$23,172.00,$18,148.00,$15,383.00,11.70%,15.40%,20.20%,12.80%
Yell Township, Benton County,,,,,,,,,,,,,,,,,
Yellville,97.71%,,0.76%,0.23%,0.08%,,1.22%,0.53%,$26,250.00,$31,793.00,$26,000.00,$18,056.00,$12,618.00,13.20%,17.70%,22.20%,13.80%
York Township, Lonoke County,,,,,,,,,,,,,,,,,
Zent Township, Monroe County,,,,,,,,,,,,,,,,,
Zinc Township, Boone County,,,,,,,,,,,,,,,,,
Zinc,88.30%,1.00%,,,,,8.70%,1.90%,$20,036.00,$18,250.00,$10,194.00,$5,250.00,$9,999.00,35.80%,25.90%,43.00%,63.70%
