,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acacia Villas,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Key,97.47%,0.13%,0.63%,0.25%,,0.51%,1.01%,1.52%,$32,232.00,$41,190.00,$27,375.00,$31,806.00,$22,568.00,6.60%,11.10%,10.50%,9.90%,,,,,,,,
Celebration,91.00%,1.50%,0.26%,3.20%,,,2.20%,11.20%,$74,231.00,$92,334.00,$51,250.00,$46,650.00,$39,521.00,,4.10%,,,,,,,,,,
Center Hill,79.89%,6.70%,0.55%,0.55%,0.77%,9.45%,2.09%,28.90%,$29,830.00,$30,156.00,$27,279.00,$20,500.00,$13,546.00,19.20%,26.20%,40.40%,13.70%,,,,,,,,
Century,39.67%,56.65%,0.58%,0.64%,0.06%,0.35%,2.04%,1.63%,$20,703.00,$28,241.00,$26,932.00,$17,390.00,$10,412.00,24.50%,30.10%,41.40%,26.10%,,,,,,,,
Charleston Park,8.03%,83.70%,,,,6.33%,1.95%,11.92%,$24,464.00,$26,625.00,$20,962.00,$15,625.00,$7,528.00,20.00%,18.10%,21.10%,0.00%,,,,,,,,
Charlotte County,,,,,,,,,$45,112.00,$47,415.00,$27,352.00,$26,861.00,$28,875.00,5.30%,11.90%,17.40%,5.60%,,,,,,,,
Charlotte Harbor,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Park,98.08%,0.27%,0.09%,0.18%,,0.64%,0.73%,2.15%,$29,263.00,$35,462.00,$26,397.00,$25,521.00,$22,434.00,4.20%,6.80%,9.40%,1.40%,,,,,,,,
Chattahoochee,50.71%,46.73%,0.12%,0.94%,0.03%,0.67%,0.79%,2.56%,$28,250.00,$35,139.00,$30,000.00,$24,531.00,$15,265.00,21.00%,26.10%,46.50%,11.90%,,,,,,,,
Cheval,85.86%,4.63%,0.18%,5.01%,0.16%,2.12%,2.04%,13.02%,$46,888.00,$65,960.00,$45,551.00,$29,161.00,$32,444.00,2.50%,4.90%,6.20%,2.20%,,,,,,,,
Chiefland,60.36%,34.27%,0.65%,1.66%,0.10%,0.65%,2.31%,2.76%,$17,331.00,$23,750.00,$25,000.00,$19,792.00,$10,676.00,33.30%,36.80%,46.00%,24.40%,,,,,,,,
Chipley,68.24%,26.85%,0.80%,1.14%,0.08%,0.47%,2.41%,2.94%,$21,686.00,$28,792.00,$23,715.00,$19,662.00,$12,842.00,25.10%,27.70%,42.40%,22.30%,,,,,,,,
Chokoloskee,98.51%,,,,,0.25%,1.24%,2.23%,$33,750.00,$36,389.00,$26,333.00,$19,250.00,$16,847.00,2.40%,1.60%,3.70%,0.00%,,,,,,,,
Christmas,95.44%,0.43%,0.69%,0.95%,,0.60%,1.89%,2.15%,,,,,,,,,,,,,,,,,
Chuluota,94.53%,0.36%,0.88%,0.57%,0.05%,1.56%,2.03%,5.62%,$42,105.00,$46,000.00,$33,854.00,$23,575.00,$16,641.00,4.10%,5.10%,7.70%,0.00%,,,,,,,,
Chumuckla,,,,,,,,,,,,,,,,,,,,,,,,,
Cinco Bayou,81.17%,12.73%,0.80%,3.98%,,0.27%,1.06%,3.71%,$28,036.00,$28,750.00,$33,750.00,$21,250.00,$22,425.00,9.90%,15.50%,25.40%,4.40%,,,,,,,,
Citrus County,,,,,,,,,$31,001.00,$36,711.00,$28,091.00,$21,408.00,$18,585.00,8.50%,11.70%,18.10%,7.00%,,,,,,,,
Citrus Hills,92.78%,1.44%,0.32%,4.02%,,0.45%,0.99%,2.83%,$48,229.00,$53,222.00,$35,125.00,$24,875.00,$25,753.00,4.30%,6.50%,16.20%,1.40%,,,,,,,,
Citrus Park,82.60%,9.20%,0.40%,1.40%,0.05%,4.80%,1.60%,31.30%,$54,732.00,$60,165.00,$35,360.00,$29,739.00,$22,162.00,4.70%,6.30%,7.10%,13.70%,,,,,,,,
Citrus Springs,93.70%,2.24%,0.31%,0.65%,0.07%,1.37%,1.66%,5.46%,$29,758.00,$35,000.00,$27,143.00,$18,686.00,$16,845.00,5.00%,7.80%,11.40%,4.10%,,,,,,,,
Clarcona,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,81.80%,9.90%,0.50%,2.90%,0.10%,1.10%,2.90%,7.70%,$48,854.00,$53,814.00,$36,683.00,$25,488.00,$20,868.00,5.10%,6.80%,8.90%,7.40%,,,,,,,,
Clermont,71.69%,14.41%,0.42%,4.19%,,5.37%,3.83%,17.75%,$39,290.00,$48,216.00,$36,240.00,$26,571.00,$21,099.00,6.30%,7.80%,15.00%,4.50%,,,,,,,,
Cleveland,97.83%,0.40%,0.34%,0.21%,0.03%,0.49%,0.70%,1.44%,$31,537.00,$37,208.00,$30,778.00,$20,667.00,$21,468.00,5.90%,8.40%,3.90%,6.30%,,,,,,,,
Clewiston,75.79%,10.93%,0.39%,1.18%,,9.64%,2.07%,40.94%,$37,143.00,$38,652.00,$31,139.00,$21,049.00,$15,527.00,14.80%,18.80%,25.90%,7.10%,,,,,,,,
Cobbtown,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,62.47%,32.28%,0.63%,0.94%,0.23%,1.58%,1.87%,4.93%,,,,,,,,,,,,,,,,,
Cocoa West,55.16%,40.89%,0.64%,0.25%,0.12%,1.25%,1.69%,3.53%,$28,094.00,$32,188.00,$29,714.00,$20,423.00,$12,964.00,21.70%,26.80%,43.90%,15.00%,,,,,,,,
Coleman,60.74%,36.17%,,0.15%,0.15%,2.16%,0.62%,2.78%,$25,500.00,$27,679.00,$27,109.00,$16,429.00,$12,186.00,19.90%,22.70%,31.30%,16.70%,,,,,,,,
Collier County,,,,,,,,,$48,289.00,$54,816.00,$32,639.00,$26,371.00,$31,195.00,6.60%,10.30%,16.20%,4.30%,,,,,,,,
