,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Groveland,97.38%,0.48%,0.08%,0.91%,,0.26%,0.85%,1.32%,,,,,,,,,
Hadley,95.91%,0.75%,0.60%,1.56%,,0.58%,1.13%,1.67%,,,,,,,,,
Halifax,98.13%,0.31%,0.03%,0.27%,,0.48%,0.79%,0.55%,,,,,,,,,
Hamilton,94.19%,0.47%,0.17%,4.26%,0.05%,0.34%,0.53%,0.99%,,,,,,,,,
Hampden,96.70%,0.50%,0.10%,1.40%,0.02%,0.40%,1.00%,1.50%,,,,,,,,,
Hampden County,76.50%,9.00%,0.40%,2.00%,0.10%,9.20%,2.90%,20.90%,,,,,,,,,
Hampshire County,88.70%,2.50%,0.20%,4.50%,,1.50%,2.50%,4.70%,,,,,,,,,
Hancock,97.36%,0.28%,,0.55%,,0.14%,1.66%,1.39%,,,,,,,,,
Hanover,97.68%,0.55%,0.08%,0.77%,0.01%,0.27%,0.65%,0.68%,,,,,,,,,
Hanson (CDP),97.99%,0.44%,,0.29%,,0.24%,1.03%,0.68%,$64,896.00,$71,250.00,$47,760.00,$28,098.00,$23,433.00,1.10%,1.80%,0.00%,4.40%
Hardwick,97.79%,0.53%,0.15%,0.11%,,0.19%,1.22%,0.88%,,,,,,,,,
Harvard,91.69%,4.50%,0.17%,1.97%,0.05%,0.50%,1.12%,6.09%,,,,,,,,,
Harwich,95.41%,0.71%,0.19%,0.22%,0.05%,2.03%,1.40%,0.96%,,,,,,,,,
Harwich Center,92.69%,0.82%,0.27%,0.27%,,3.93%,2.02%,0.66%,$41,230.00,$53,077.00,$35,950.00,$25,690.00,$23,702.00,1.90%,3.90%,2.20%,4.00%
Harwich Port,97.73%,0.61%,0.11%,0.06%,,0.77%,0.72%,0.66%,$29,583.00,$45,385.00,$31,250.00,$33,229.00,$25,085.00,9.90%,14.60%,44.10%,6.70%
Hatfield,98.03%,0.22%,0.12%,0.49%,0.06%,0.58%,0.49%,1.05%,,,,,,,,,
Hatfield (CDP),98.07%,0.15%,,0.77%,,0.85%,0.15%,1.23%,$48,281.00,$63,833.00,$39,167.00,$31,477.00,$23,145.00,0.00%,2.40%,0.00%,4.50%
Haverhill,88.30%,4.50%,0.30%,1.60%,0.03%,4.30%,2.60%,14.50%,,,,,,,,,
Hawley,97.32%,0.30%,,0.89%,,,1.49%,0.30%,,,,,,,,,
