State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1904,President,Richardson,1664,2554,135,73,,68,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Rock,138,498,39,7,,23,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Saline,1108,2390,245,38,,113,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Sarpy,675,998,49,83,,54,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Saunders,1091,2880,582,56,,180,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Scotts Bluff,103,530,34,87,,27,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Seward,1027,2243,279,10,,80,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Sheridan,171,673,182,27,,40,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Sherman,140,809,423,44,,21,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Sioux,111,247,24,3,,13,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Stanton,513,895,57,9,,21,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Thayer,812,1930,209,37,,101,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Thomas,40,86,11,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Thurston,539,757,20,20,,6,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Valley,219,1133,357,13,,50,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Washington,795,1868,104,96,,38,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Wayne,549,1453,71,26,,30,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Webster,424,1585,446,19,,89,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Wheeler,56,187,69,37,,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,York,754,2529,426,22,,211,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Adams,2337,1987,,92,,119,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Antelope,1455,1658,,29,,66,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Arthur,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Banner,74,175,,17,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Blaine,160,220,,8,,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Boone,1583,1580,,12,,40,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Box Butte,684,600,,29,,19,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Boyd,891,954,,27,,34,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Brown,526,588,,42,,15,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Buffalo,2520,2526,,76,,75,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Burt,1215,1880,,14,,49,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Butler,2129,1412,,17,,41,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Cass,2387,2440,,58,,85,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Cedar,1732,1627,,5,,39,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Chase,338,400,,3,,34,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Cherry,1021,1048,,58,,41,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Cheyenne,809,886,,37,,28,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Clay,1939,1891,,31,,95,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Colfax,1267,1159,,36,,21,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Cuming,1722,1284,,5,,29,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Custer,2898,2788,,147,,98,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Dakota,716,729,,22,,22,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Dawes,727,836,,29,,16,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Dawson,1926,1737,,22,,87,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Deuel,392,526,,8,,12,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Dixon,1100,1257,,12,,63,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Dodge,2664,2437,,49,,109,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Douglas,15583,14066,,798,,266,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Dundy,391,486,,26,,17,,,,,,,,,,,,,,,,,,,,,,,,
