State,Year,Office,County,D#,R#,IDB#,Cit.#,WW#,NA#,NER#,WL#,BL#,Justice#,PF#,Proh.#,IGR#,GR#,SD#,GB#,ND#,UL#,Pop.#,CF#,Comm.#,FL#,SW#,S&L#,SE#,S#,Ind.#,SL#,Wor.#,SI#,Indus.#,IL#,Prog.#,U#,AI#,I1#,I2#,IND#,NL#,RefM#,Ref.#,LMN#,G#,L#,W/I1#,W/2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,D1#,D2#,Indus#,PII#,NU#,Res.#,IG#,Am.#,RW#,W/I2#,Eco,Reso,QRT#,TPC#,NRA#,ER#,IR#,HG#,SA#,PO#,Mid-P.,W/I#,Ind.All#
Minnesota,1888,President,Carver,1886,1486,,,,,,,,,,61,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Cass,236,474,,,,,,,,,,6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Chippewa,506,820,,,,,,,,,,182,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Chisago,419,1481,,,,,,,,,,172,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Clay,972,1547,,,,,,,,,,198,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Cook,29,24,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Cottonwood,273,760,,,,,,,,,,90,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Crow Wing,699,1144,,,,,,,,,,65,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Dakota,2372,1664,,,,,,,,,,210,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Dodge,805,1530,,,,,,,,,,222,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Douglas,661,1744,,,,,,,,,,345,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Faribault,1054,2176,,,,,,,,,,297,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Fillmore,1759,3428,,,,,,,,,,349,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Freeborn,973,2413,,,,,,,,,,388,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Goodhue,1721,3813,,,,,,,,,,364,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Grant,316,899,,,,,,,,,,170,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Hennepin,15040,21209,,,,,,,,,,1689,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Houston,1376,1624,,,,,,,,,,103,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Hubbard,181,169,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Isanti,159,924,,,,,,,,,,320,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Itasca,105,58,,,,,,,,,,10,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Jackson,476,1018,,,,,,,,,,86,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Kanabec,82,162,,,,,,,,,,114,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Kandiyohi,472,1936,,,,,,,,,,388,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Kittson,360,603,,,,,,,,,,73,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Lac Qui Parle,540,1298,,,,,,,,,,88,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Lake,89,222,,,,,,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Le Sueur,2121,1817,,,,,,,,,,199,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Lincoln,399,594,,,,,,,,,,63,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Lyon,475,1138,,,,,,,,,,207,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Marshall,1827,1323,,,,,,,,,,105,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,Martin,426,1166,,,,,,,,,,117,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1888,President,McLeod,471,1161,,,,,,,,,,163,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
