State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,1924,President,Marlboro,716,0,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,McCormick,520,15,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Newberry,1802,13,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Oconee,989,5,33,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Orangeburg,1727,67,13,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Pickens,1044,35,3,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Richland,2369,88,74,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Saluda,1094,3,2,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Spartanburg,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Sumter,1136,18,62,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Union,1862,27,7,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,Williamsburg,672,4,0,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1924,President,York,1385,31,56,,,,,,,,,,,,,,,0,,,,,,,,
South Carolina,1928,President,Abbeville,1020,65,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Aiken,1308,242,,3,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Allendale,816,24,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Anderson,1780,61,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Bamberg,779,4,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Barnwell,1028,34,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Beaufort,414,124,,3,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Berkeley,276,42,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Calhoun,577,7,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Charleston,4298,1759,,18,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Cherokee,1388,89,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Chester,1285,36,,2,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Chesterfield,1362,23,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Clarendon,762,10,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Colleton,1122,22,,1,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Darlington,1135,48,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Dillon,558,21,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Dorchester,1105,44,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Edgefield,1201,4,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Fairfield,781,94,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Florence,1672,93,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Georgetown,586,74,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1928,President,Greenville,4116,546,,2,,,,,,,,,,,,,,,,,,,,,,
