State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,1940,President,Mora,1960,2440,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Otero,1788,1596,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Quay,3215,1413,,,,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Rio Arriba,4952,4289,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Roosevelt,3190,1384,,,,,,,9,,,,7,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,San Juan,2060,1990,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,San Miguel,1445,1757,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Sandoval,6054,4882,,,,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Santa Fe,6482,6285,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Sierra,1534,1372,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Socorro,2489,2703,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Taos,3463,3342,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,
New Mexico,1940,President,Torrance,1921,2509,,,,,,,5,,,,4,,,,,,,,,,,,,,,,,,,,,
